Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
SUBAWU-USD,Subawu Token USD,0,0,-2.43%,0,24,24,24,0
VEUSD-USD,VeUSD USD,0.999332,-0.002614,-0.26%,0,"404,614","404,614","404,614",0
DNA19435-USD,DNA(RXC) USD,0.041068,-0.001236,-2.92%,0,424,424,424,0
RMARS16256-USD,REDMARS USD,0.000059,0.000001,1.33%,0,669,669,669,0
RING17786-USD,OneRing USD,0.014092,-0.000468,-3.21%,0,"4,998","4,998","4,998",0
VNLA10120-USD,Chocoswap USD,0.027447,0.002216,8.78%,0,520,520,520,0
URD-USD,UrDEX Finance USD,0.01807,-0.003059,-14.48%,0,"10,381","10,381","10,381",0
TONE10169-USD,NFTTONE USD,0,0,-3.77%,0,2,2,2,0
COURSE-USD,Meta Course USD,0,0,-4.94%,0,15,15,15,0
DOGPAD-USD,DogPad Finance USD,0.00000068,-0.00000013,-15.65%,0,"9,575","9,575","9,575",0
BTCPAY-USD,Bitcoin Pay USD,0.005087,0.001036,25.57%,0,"1,013","1,013","1,013",0
MODA-USD,MODA DAO USD,0.407638,-0.021012,-4.90%,0,"15,908","15,908","15,908",0
BB-A-USDT-USD,Balancer Boosted Aave USDT USD,1.0118,0.0007,0.07%,0,"461,480","461,480","461,480",0
ADCO-USD,Advertise Coin USD,0.403758,-0.018659,-4.42%,0,N/A,N/A,N/A,0
FLUF-USD,Fluffy Coin USD,0.000196,0.000014,7.56%,0,"9,435","9,435","9,435",0
XDG-USD,Decentral Games Governance (xDG) USD,0.02831,-0.00024,-0.84%,0,"1,825","1,825","1,825",0
PPAD-USD,PlayPad USD,0.001938,-0.000064,-3.21%,0,"69,582","69,582","69,582",0
SAVANTAI-USD,Savant AI USD,0.000073,-0.000007,-8.45%,0,866,866,866,0
METAALLBI-USD,Metaverse ALL BEST ICO USD,0.00000321,-0.00000033,-9.34%,0,6,6,6,0
XTRM-USD,XTRM COIN USD,0.000055,-0.000003,-5.53%,0,3,3,3,0
SPDR-USD,SpiderDAO USD,0.000128,-0.000004,-3.08%,0,67,67,67,0
BACK-USD,DollarBack USD,0.00000044,-0.00000006,-12.16%,0,485,485,485,0
GEN20096-USD,Generation USD,0.009907,-0.000005,-0.05%,0,2,2,2,0
PANIC-USD,PanicSwap USD,0.000969,-0.000116,-10.72%,0,12,12,12,0
ZPRO-USD,ZAT Project USD,0.001491,-0.000001,-0.05%,0,N/A,N/A,N/A,0
PEPECEO-USD,REAL PEPE CEO USD,0.00000015,-0.00000014,-48.04%,0,"5,673","5,673","5,673",0
CUBIX-USD,CUBIX USD,0.002681,-0.000002,-0.08%,0,"59,405","59,405","59,405",0
AVAO-USD,AvaOne Finance USD,0.0003,-0.000026,-7.98%,0,0,0,0,0
GDRT-USD,Good Driver Reward Token USD,0,0,-1.76%,0,34,34,34,0
DBY-USD,MetaDerby USD,0.002113,-0.000198,-8.56%,0,81,81,81,0
HAUS-USD,DAOhaus USD,1.802,-0.0147,-0.81%,0,0,0,0,0
HICOOLCATS-USD,hiCOOLCATS USD,0.001358,-0.000081,-5.62%,0,"143,912","143,912","143,912",0
NGL-USD,Gold Fever USD,0.184315,-0.007897,-4.11%,0,"191,099","191,099","191,099",0
BAGS-USD,Basis Gold Share USD,0.299286,-0.013516,-4.32%,0,"13,914","13,914","13,914",0
MC21741-USD,Mechaverse USD,0.692867,0.088597,14.66%,0,"269,624","269,624","269,624",0
SFF-USD,Sunflower Farm USD,0.002227,-0.000275,-10.99%,0,19,19,19,0
DOMI-USD,Domi Online USD,0.005213,-0.00018,-3.34%,0,"16,615","16,615","16,615",0
HINT-USD,Hintchain USD,0.000045,-0.000001,-1.36%,0,11,11,11,0
IJZ23050-USD,iinjaz (new) USD,0.011157,0.000034,0.31%,0,"3,118","3,118","3,118",0
GENI-USD,GemUni USD,0.002217,-0.000002,-0.10%,0,12,12,12,0
WE2NET-USD,WE2NET USD,0.160221,0.000322,0.20%,0,"24,309","24,309","24,309",0
MINECRAFT-USD,Synex Coin USD,0.000436,-0.000004,-0.80%,0,1,1,1,0
VISA-USD,VisaMetaFi USD,0.00000004,0,0.00%,0,4,4,4,0
UUSD-USD,youves uUSD USD,0.998804,0.005509,0.55%,0,5,5,5,0
XFUND-USD,xFund USD,425.07,-60.76,-12.51%,0,"78,304","78,304","78,304",0
ECC15684-USD,Empire Capital Token USD,0.012689,-0.000498,-3.78%,0,"1,164","1,164","1,164",0
SKELETON-USD,Defiskeletons USD,0.000848,-0.00002,-2.29%,0,7,7,7,0
UMAMI-USD,Umami Finance USD,12.74,-0.4,-3.02%,0,"444,827","444,827","444,827",0
VXON-USD,VoxNET USD,0.52515,-0.034229,-6.12%,0,"1,422","1,422","1,422",0
CHEESE22558-USD,Cheese (V2) USD,0.000046,-0.000002,-4.44%,0,"97,906","97,906","97,906",0
NSWAP-USD,Nulswap USD,0.012583,0.000243,1.97%,0,"2,348","2,348","2,348",0
ASET-USD,Parasset USD,0.040117,0,0.00%,0,"1,117","1,117","1,117",0
PECO-USD,Amun Polygon Ecosystem Index USD,0.00000004,0,0.00%,0,1,1,1,0
FOLD-USD,Manifold Finance USD,16.86,-1.32,-7.26%,0,"546,629","546,629","546,629",0
OPNN-USD,Opennity USD,0.000026,0,-0.05%,0,6,6,6,0
PIVN-USD,PIVN USD,0.021444,-0.000112,-0.52%,0,"75,415","75,415","75,415",0
JDB-USD,JDB USD,0.000117,-0.024998,-99.53%,0,"158,275","158,275","158,275",0
DOTC-USD,Polka Classic USD,0,0,0.00%,0,0,0,0,0
GBX6450-USD,Gbrick USD,0.000275,0,0.00%,0,2,2,2,0
AXIAL-USD,Axial USD,0.000218,0,0.00%,0,221,221,221,0
ITP-USD,Interport Token USD,1.7399,0,0.00%,0,"5,533","5,533","5,533",0
MON5066-USD,MoneyByte USD,0.106055,-0.001366,-1.27%,0,132,132,132,0
SHARD18482-USD,Hello Gophers USD,0.00000113,0,0.00%,0,0,0,0,0
GRELF-USD,GRELF USD,0.066444,0.00206,3.20%,0,N/A,N/A,N/A,0
NET-USD,DefiNet USD,0.000161,0,0.00%,0,497,497,497,0
FLOKIAI-USD,FLOKI AI USD,0,0,-27.48%,0,149,149,149,0
HTR22392-USD,Heart Rate USD,0.004202,0,0.00%,0,"313,053","313,053","313,053",0
X3TA-USD,XETA USD,21.5,0,0.00%,0,107,107,107,0
CC18701-USD,CowCoin USD,0.007253,0,0.00%,0,176,176,176,0
STRM-USD,Instrumental Finance USD,0.025565,0,0.00%,0,104,104,104,0
HELLSING-USD,Hellsing Inu USD,0,0,0.00%,0,"2,272","2,272","2,272",0
POWER23067-USD,Kingmaker USD,0.000011,0,0.00%,0,22,22,22,0
DOKI21580-USD,Okidoki Social USD,0.001303,0,0.00%,0,587,587,587,0
GINSPIRIT-USD,GinSpirit USD,0.000663,0,0.00%,0,1,1,1,0
ADAO16045-USD,Adadao USD,0.001924,-0.000145,-6.99%,0,"30,845","30,845","30,845",0
ERT-USD,NEO FANTASY USD,0.002561,-0.000004,-0.17%,0,2,2,2,0
TEX-USD,IoTex Pad USD,0.006183,-0.000018,-0.28%,0,34,34,34,0
EZY23231-USD,EZZY GAME USD,0.058913,0.000551,0.94%,0,"190,538","190,538","190,538",0
FAST23895-USD,PodFast USD,0.046765,-0.001875,-3.85%,0,"115,748","115,748","115,748",0
EXN-USD,Exeno USD,0.109806,-0.032056,-22.60%,0,"63,007","63,007","63,007",0
FIX00-USD,FIX00 USD,0.000736,0.000012,1.65%,0,"27,614","27,614","27,614",0
VNY-USD,Vanity USD,0.000042,-0.000004,-9.68%,0,"1,858","1,858","1,858",0
QBZ-USD,QUEENBEE USD,0.0005,0,-0.05%,0,0,0,0,0
IFC23495-USD,iFortune USD,10.31,-0.19,-1.85%,0,"7,750","7,750","7,750",0
ESG-USD,ESG USD,0.388879,-0.129597,-25.00%,0,"71,916","71,916","71,916",0
POION-USD,Poison Finance USD,0.668055,-0.040645,-5.74%,0,"52,797","52,797","52,797",0
NUGEN-USD,NUGEN COIN USD,0.07615,-0.000042,-0.05%,0,296,296,296,0
X1-USD,MetaX USD,1.5775,0.0654,4.33%,0,"7,434","7,434","7,434",0
LSETH23914-USD,Liquid Staked ETH Index USD,"1,895.98",0,0.00%,0,96,96,96,0
PIP24516-USD,PIP USD,0.011182,-0.001194,-9.65%,0,"5,393","5,393","5,393",0
ZIX-USD,Coinzix USD,0.001414,-0.000229,-13.94%,0,2.976M,2.976M,2.976M,0
HIBEANZ-USD,hiBEANZ USD,0.002205,-0.000198,-8.26%,0,"133,112","133,112","133,112",0
ZFLOKI-USD,zkFloki USD,0.000122,-0.000046,-27.23%,0,"4,360","4,360","4,360",0
BOMB15876-USD,Bomb Money USD,0.059802,-0.002193,-3.54%,0,823,823,823,0
BTC2X-FLI-USD,BTC 2x Flexible Leverage Index USD,7.0359,-0.7059,-9.12%,0,"13,188","13,188","13,188",0
JPC-USD,JPEX USD,0.025687,-0.001475,-5.43%,0,N/A,N/A,N/A,0
USH23837-USD,unshETH USD,0.246655,0.015497,6.70%,0,"610,194","610,194","610,194",0
AVN23483-USD,Avian USD,0.000098,0,-0.15%,0,"2,108","2,108","2,108",0
HCT-USD,HurricaneSwap Token USD,0.00031,0.000022,7.62%,0,"84,730","84,730","84,730",0
BTR13142-USD,BTRIPS USD,0.022698,-0.001382,-5.74%,0,"86,182","86,182","86,182",0
ATX-USD,AstroX USD,0.000146,-0.000008,-5.34%,0,"86,076","86,076","86,076",0
GOV14053-USD,GovWorld USD,0.004114,-0.000123,-2.90%,0,427,427,427,0
FRY-USD,Forestry USD,0.000002,0.00000029,16.80%,0,"28,994","28,994","28,994",0
ULTGG-USD,UltimoGG USD,0,0,-0.86%,0,17,17,17,0
BIT19857-USD,Bitmon USD,0.000141,-0.000001,-0.52%,0,8,8,8,0
STEPI-USD,STEPINU USD,0.000198,0,0.00%,0,13,13,13,0
SRX-USD,StorX Network USD,0.016178,-0.000275,-1.67%,0,"100,391","100,391","100,391",0
ZTG-USD,Zeitgeist USD,0.064851,-0.011505,-15.07%,0,"44,219","44,219","44,219",0
AIT24135-USD,AI Trader USD,0.001522,-0.000003,-0.21%,0,521,521,521,0
ENT24860-USD,Entropy USD,4.9292,-0.1789,-3.50%,0,"128,873","128,873","128,873",0
QMALL-USD,QMALL TOKEN USD,0.203727,-0.008705,-4.10%,0,"376,134","376,134","376,134",0
WOLF18691-USD,WOLFCOIN USD,0.001627,0.000013,0.78%,0,337,337,337,0
XMETA-USD,TTX METAVERSE USD,0.00000014,-0.00000003,-15.55%,0,196,196,196,0
RICE24624-USD,CatMouseWorld USD,0.000532,-0.000023,-4.11%,0,396,396,396,0
BOJI23288-USD,Boji V2 USD,0.00000067,-0.00000006,-8.63%,0,"2,271","2,271","2,271",0
HPAY17979-USD,HedgePay USD,0.000662,-0.000028,-4.05%,0,26,26,26,0
JKWON-USD,JAIL KWON TOKEN USD,0.000031,-0.000001,-1.98%,0,19,19,19,0
UNN-USD,UNION Protocol Governance Token USD,0.000545,-0.000031,-5.33%,0,"15,261","15,261","15,261",0
HOBBES-USD,Hobbes USD,0.00000006,-0.00000001,-14.01%,0,"38,474","38,474","38,474",0
KMW-USD,Kepler Network USD,0.000027,0,-0.05%,0,4,4,4,0
WTF17279-USD,WTF Token USD,0.00061,-0.00007,-10.34%,0,79,79,79,0
BEL15192-USD,Belrium USD,1.8953,-0.0764,-3.88%,0,62,62,62,0
ZEP-USD,Zeppelin DAO USD,0,0,-9.05%,0,36,36,36,0
POL10045-USD,Polars USD,0.001871,0,0.00%,0,827,827,827,0
NFA-USD,NFTFundArt USD,0,0,-0.86%,0,22,22,22,0
BURP-USD,Burp USD,0.000538,-0.000002,-0.31%,0,"32,708","32,708","32,708",0
BVOL-USD,1x Long Bitcoin Implied Volatility Token USD,68.04,-0.04,-0.05%,0,9,9,9,0
RABBIT23103-USD,RABBIT TECHNOLOGY USD,0.00000012,0,0.00%,0,6,6,6,0
CPOS-USD,Cpos Cloud Payment USD,0.00000082,-0.00000027,-24.68%,0,"45,380","45,380","45,380",0
MINIGAME-USD,MiniGame USD,0,0,-4.31%,0,43,43,43,0
INTX-USD,Intexcoin USD,0.000074,-0.000001,-1.00%,0,18,18,18,0
SILO-USD,Silo Finance USD,0.093118,-0.005344,-5.43%,0,"336,532","336,532","336,532",0
MUST-USD,Cometh USD,10.18,-0.59,-5.52%,0,148,148,148,0
FERT-USD,Chikn Fert USD,0.001099,-0.000092,-7.73%,0,609,609,609,0
FOXX-USD,Star Foxx USD,0.00000045,0,0.00%,0,30,30,30,0
WINE-USD,Wine Shares USD,1.86,-0.0081,-0.43%,0,208,208,208,0
APEX19843-USD,ApeX Protocol USD,0.338569,-0.013299,-3.78%,0,1.989M,1.989M,1.989M,0
DGLN-USD,Dogelana USD,0.00000719,-0.00000005,-0.74%,0,75,75,75,0
BKKG-USD,BIOKKOIN USD,27.3,0,0.00%,0,"9,791","9,791","9,791",0
DPZ-USD,DEEPMAZE Finance USD,0.000568,-0.000005,-0.86%,0,13,13,13,0
SOCA-USD,Socaverse USD,0.00000004,0,-4.17%,0,776,776,776,0
LITE-USD,Lite USD USD,1.7342,-0.1212,-6.53%,0,295,295,295,0
WIGO-USD,WigoSwap USD,0.004223,-0.000367,-8.00%,0,"2,306","2,306","2,306",0
CP22935-USD,Cookies Protocol USD,0,0,-4.91%,0,"2,517","2,517","2,517",0
NAI-USD,Natiol Infinity USD,0.000201,-0.000125,-38.38%,0,40,40,40,0
ZIBU-USD,Zibu USD,0.00000013,-0.00000001,-8.72%,0,"1,577","1,577","1,577",0
FILK-USD,OEC FIL USD,4.4794,-0.5963,-11.75%,0,"1,818","1,818","1,818",0
POLC-USD,Polkacity USD,0.014996,-0.000512,-3.30%,0,"780,111","780,111","780,111",0
BOMB9085-USD,fBomb USD,0.004922,-0.00053,-9.72%,0,"18,259","18,259","18,259",0
KEYS-USD,KEYS USD,0.002066,-0.000113,-5.20%,0,"1,048","1,048","1,048",0
SHIBLITE-USD,Shiba Lite USD,0,0,-2.95%,0,"62,761","62,761","62,761",0
DOGETREND-USD,DogeTrend USD,0,0,0.51%,0,201,201,201,0
YOURWALLET-USD,YourWallet USD,0.000294,-0.000006,-1.99%,0,1,1,1,0
POG-USD,Polygonum Online USD,0.006241,-0.000062,-0.99%,0,"12,695","12,695","12,695",0
CCX22338-USD,ClearCryptos USD,0.01788,-0.000171,-0.95%,0,"222,347","222,347","222,347",0
HXP-USD,HEXAGON Pay USD,0.00000041,0,0.00%,0,61,61,61,0
TYCOON-USD,Tycoon Zone USD,0.000498,0,-0.07%,0,8,8,8,0
BTCHG-USD,BITCOINHEDGE USD,0.011018,-0.000006,-0.05%,0,33,33,33,0
SOT-USD,Soccer Crypto USD,0.000095,0,0.00%,0,47,47,47,0
POINT-USD,Point Network USD,0.00017,0.00001,6.19%,0,"54,825","54,825","54,825",0
COSHI-USD,CoShi Inu USD,0,0,13.05%,0,57,57,57,0
HUMAI-USD,Humanoid AI USD,0.000936,-0.000212,-18.48%,0,"3,216","3,216","3,216",0
GALAXY-USD,Galaxy Coin USD,0,0,-7.12%,0,"1,860","1,860","1,860",0
GRC17105-USD,GreenCoin.AI USD,0.000901,0,0.00%,0,0,0,0,0
DST21965-USD,Double Swap Token USD,"3,793.63",-0.79,-0.02%,0,1.463M,1.463M,1.463M,0
DGMV-USD,DigiMetaverse USD,0.011118,0.00018,1.64%,0,79,79,79,0
CW-USD,CWallet USD,0.001642,-0.000096,-5.53%,0,0,0,0,0
ANJI-USD,Anji USD,0.000061,0,0.39%,0,"35,692","35,692","35,692",0
DOGEKING-USD,DogeKing USD,0.00000001,0,-5.51%,0,"13,051","13,051","13,051",0
ANSR-USD,Answerly USD,0.000107,-0.000013,-11.08%,0,5,5,5,0
NNT-USD,Nunu Spirits USD,0.006537,-0.000523,-7.40%,0,"46,185","46,185","46,185",0
TICKET-USD,Ticket Finance USD,0.000011,0,-0.06%,0,0,0,0,0
BROWN-USD,BrowniesSwap USD,0.000145,0,-0.05%,0,0,0,0,0
CMDX-USD,Comdex USD,0.045799,-0.003731,-7.53%,0,"5,252","5,252","5,252",0
3QT-USD,3QT USD,0.00003,0.000002,5.44%,0,"6,520","6,520","6,520",0
YOSHI-USD,Yoshi.exchange USD,0.084361,-0.010087,-10.68%,0,"44,374","44,374","44,374",0
VSTA-USD,Vesta Finance USD,0.258936,-0.046234,-15.15%,0,"178,491","178,491","178,491",0
BANGZ-USD,Baby Bangkaew USD,0.00000027,-0.00000001,-3.34%,0,2,2,2,0
NNN-USD,Ninenoble USD,0,0,-0.86%,0,13,13,13,0
GHUB-USD,GemHUB USD,0.141601,-0.000274,-0.19%,0,"242,446","242,446","242,446",0
TARO-USD,Taroverse USD,0.000098,-0.000054,-35.40%,0,"3,254","3,254","3,254",0
DGE-USD,DragonSea USD,0.000282,-0.000003,-1.11%,0,3,3,3,0
DILI-USD,D Community USD,0.000046,-0.000005,-9.43%,0,"13,455","13,455","13,455",0
IDM-USD,IDM Token USD,0.000059,-0.000002,-3.14%,0,2,2,2,0
WETH-USD,WETH USD,"1,832.35",-84.79,-4.42%,0,2.065B,2.065B,2.065B,0
SHEN-USD,Shen USD,0.385358,-0.028373,-6.86%,0,"129,485","129,485","129,485",0
MTRM-USD,Materium USD,0.141149,0.008659,6.54%,0,"615,491","615,491","615,491",0
CBAT-USD,Compound Basic Attention Token USD,0.004342,-0.000423,-8.88%,0,"2,529","2,529","2,529",0
PC13249-USD,Plug Chain USD,0.003002,-0.000154,-4.89%,0,"890,425","890,425","890,425",0
ETHG-USD,Ethereum Gold USD,0.123892,-0.000939,-0.75%,0,N/A,N/A,N/A,0
VOICE-USD,Voice Token USD,144.99,0,0.00%,0,"1,398","1,398","1,398",0
IRISTOKEN-USD,Iris Ecosystem USD,0.00275,-0.000116,-4.05%,0,153,153,153,0
SCALE-USD,Scaleton USD,0.138404,-0.003251,-2.29%,0,"3,574","3,574","3,574",0
BFLOKIC-USD,Baby Floki CEO USD,0,0,-14.15%,0,"20,113","20,113","20,113",0
ANKRMATIC-USD,Ankr Staked MATIC USD,0.999975,-0.087491,-8.05%,0,"93,018","93,018","93,018",0
CMAI-USD,CoinMatch Ai USD,0.000601,-0.000033,-5.13%,0,99,99,99,0
CRFI-USD,CrossFi USD,0.008719,0,0.00%,0,4,4,4,0
WIS15245-USD,WingSwap USD,0.000219,-0.000027,-10.91%,0,"3,277","3,277","3,277",0
MMM7-USD,MMM7 USD,0.000855,-0.000032,-3.57%,0,"175,610","175,610","175,610",0
OSB-USD,OASISBloc USD,0.008035,-0.000014,-0.18%,0,311,311,311,0
NFT2-USD,NFT2STAKE USD,0.010656,-0.003909,-26.84%,0,"21,397","21,397","21,397",0
HTF-USD,Healthify USD,0.000014,-0.000001,-3.76%,0,3,3,3,0
TTF-USD,TurboTrix Finance USD,0.000021,0,-0.05%,0,10,10,10,0
ESP-USD,Espers USD,0.000055,-0.000003,-4.43%,0,95,95,95,0
PREMIA-USD,Premia USD,0.675346,-0.020999,-3.02%,0,"190,092","190,092","190,092",0
BAI-USD,Based AI USD,0,0,-59.72%,0,367,367,367,0
FUNEX-USD,Funex USD,0.06094,0.000567,0.94%,0,157,157,157,0
NEZUKO-USD,Nezuko Inu USD,0,0,-48.17%,0,17,17,17,0
UW3S-USD,Utility Web3Shot USD,0.081934,-0.004948,-5.69%,0,"57,483","57,483","57,483",0
UZUMAKI-USD,Uzumaki Inu USD,0,0,-1.04%,0,115,115,115,0
BIM-USD,BIM USD,1.0504,0,0.00%,0,397,397,397,0
URS-USD,URUS USD,0.002841,-0.000131,-4.40%,0,303,303,303,0
XTAROT-USD,Staked TAROT USD,0.109567,-0.00894,-7.54%,0,127,127,127,0
LIQ12546-USD,Liquidus USD,0.082458,-0.003406,-3.97%,0,"22,248","22,248","22,248",0
MFT21734-USD,My Farm USD,0.00055,-0.00014,-20.33%,0,445,445,445,0
ASP-USD,Aspire USD,0.00194,0.000753,63.36%,0,"3,819","3,819","3,819",0
AUTUMN-USD,Autumn USD,0.005309,-0.00001,-0.18%,0,"2,654","2,654","2,654",0
SDG24369-USD,Crypto SDG USD,0.000731,0,-0.06%,0,57,57,57,0
TPV-USD,TravGoPV USD,0,0,0.04%,0,2,2,2,0
HUSH24648-USD,Hush.cash USD,0.291374,-0.085477,-22.68%,0,"16,959","16,959","16,959",0
CENX14849-USD,Centcex USD,0.000606,0.000004,0.71%,0,"135,195","135,195","135,195",0
RABBIT-USD,Rabbit Finance USD,0.00143,0.000019,1.32%,0,"2,261","2,261","2,261",0
GRVS-USD,Gravis Finance USD,0.00207,0,0.00%,0,3,3,3,0
TBAC-USD,BlockAura USD,1.3031,-0.1057,-7.50%,0,"2,180","2,180","2,180",0
DIE-USD,Die Protocol USD,0.00000003,-0.00000001,-21.98%,0,"125,596","125,596","125,596",0
PPAI-USD,ThePepe.AI USD,0.009988,-0.000766,-7.12%,0,"1,199","1,199","1,199",0
EVM-USD,EverMars USD,0,0,0.00%,0,0,0,0,0
FOHO-USD,FOHO Coin USD,0.015162,-0.00001,-0.06%,0,0,0,0,0
PLOT18972-USD,Earncraft USD,0.000677,0.00029,75.11%,0,"4,483","4,483","4,483",0
EZI-USD,Ezillion USD,0,0,2.52%,0,54,54,54,0
GIF-USD,GIF DAO USD,0.002377,-0.000196,-7.63%,0,N/A,N/A,N/A,0
WBCH-USD,Wrapped Bitcoin Cash USD,111.52,-4.41,-3.80%,0,440,440,440,0
FRGST-USD,Froggies Token USD,0,0,-1.60%,0,"8,276","8,276","8,276",0
KNIGHT15841-USD,KnightSwap USD,0.007204,-0.000216,-2.91%,0,"7,700","7,700","7,700",0
INET-USD,Ideanet Token USD,0.020013,-0.000011,-0.05%,0,"8,534","8,534","8,534",0
ASV-USD,Astro Verse USD,0.00000641,-0.00000013,-1.98%,0,2,2,2,0
RULE-USD,Rule USD,0.000058,-0.000002,-3.33%,0,358,358,358,0
VRX-USD,VEROX USD,31.53,-4.4,-12.25%,0,"14,203","14,203","14,203",0
KAU24382-USD,Gold USD,65.04,-0.06,-0.09%,0,"12,731","12,731","12,731",0
HIPENGUINS-USD,hiPENGUINS USD,0.00896,-0.000158,-1.73%,0,"151,286","151,286","151,286",0
DEXI21816-USD,Dexioprotocol USD,0.007167,0.000125,1.77%,0,"1,704","1,704","1,704",0
DXT-USD,DeXit Network USD,0.000036,0,0.00%,0,538,538,538,0
GMUSD-USD,GND Protocol USD,1.0616,-0.0002,-0.02%,0,"344,476","344,476","344,476",0
ALOT-USD,Dexalot USD,0.157293,-0.005259,-3.23%,0,214,214,214,0
HIVALHALLA-USD,hiVALHALLA USD,0.000818,-0.000061,-6.89%,0,"144,136","144,136","144,136",0
ARGO19900-USD,Argo Finance USD,0.002082,-0.000134,-6.05%,0,"2,263","2,263","2,263",0
UTG-USD,UltronGlow USD,0.875477,0.033461,3.97%,0,"14,459","14,459","14,459",0
WFUSE-USD,Wrapped Fuse USD,0.070565,-0.002844,-3.87%,0,998,998,998,0
CUSDC-USD,Compound USD Coin USD,0.022835,-0.000013,-0.06%,0,5.288M,5.288M,5.288M,0
BTCIX-USD,BITCOLOJIX USD,1.2206,-0.0008,-0.07%,0,"93,474","93,474","93,474",0
DOGERA-USD,Dogera USD,0,0,-33.65%,0,"68,105","68,105","68,105",0
FJT-USD,Fuji USD,0.122581,-0.01038,-7.81%,0,"353,401","353,401","353,401",0
UAT-USD,UltrAlpha USD,0.025557,-0.000014,-0.05%,0,189,189,189,0
CUB-USD,Cub Finance USD,0.013635,-0.000241,-1.73%,0,"3,880","3,880","3,880",0
WKT-USD,World Knowledge Token USD,0.500704,-0.132906,-20.98%,0,0,0,0,0
GAMMA16923-USD,Gamma USD,0.231797,-0.014942,-6.06%,0,"234,045","234,045","234,045",0
SRLTY-USD,SaitaRealty USD,0.000251,0.000003,1.19%,0,"95,400","95,400","95,400",0
DUCATO-USD,Ducato Finance Token USD,0.007495,-0.000004,-0.05%,0,2,2,2,0
BCG-USD,BlockChainGames USD,0.000342,-0.000062,-15.27%,0,"246,476","246,476","246,476",0
PLN-USD,Pollen USD,0.003938,-0.000026,-0.67%,0,"141,737","141,737","141,737",0
POKELON-USD,POKELON USD,0.00065,0,-0.05%,0,3,3,3,0
SNACK-USD,Crypto Snack USD,0.003372,-0.000002,-0.05%,0,"253,883","253,883","253,883",0
TINC-USD,Tiny Coin USD,0.029437,-0.001547,-4.99%,0,"76,446","76,446","76,446",0
FB7926-USD,Facebook tokenized stock Bittrex USD,206.77,-3.09,-1.47%,0,"4,038","4,038","4,038",0
SPHERE18945-USD,Sphere Finance USD,0.002257,-0.000231,-9.30%,0,"10,809","10,809","10,809",0
CMOS-USD,CoinMerge OS USD,0.000188,-0.000012,-5.83%,0,"1,470","1,470","1,470",0
ZIRVE-USD,Zirve Coin USD,0.00005,0,-0.05%,0,198,198,198,0
KUMA-USD,Kuma Inu USD,0.00000001,0,-15.09%,0,"78,193","78,193","78,193",0
BSCPAY-USD,BSC PAYMENTS USD,0.000287,0.000013,4.92%,0,154,154,154,0
ZOO-USD,ZooCoin USD,0.000321,-0.000135,-29.63%,0,"7,186","7,186","7,186",0
RBX24792-USD,RabbitX USD,0.097574,0.016838,20.86%,0,"217,051","217,051","217,051",0
PAPA24673-USD,Papa USD,0,0,-49.41%,0,"333,236","333,236","333,236",0
MAF-USD,MetaMAFIA USD,0.138191,0.012439,9.89%,0,"37,303","37,303","37,303",0
STARS13038-USD,StarLaunch USD,0.036317,-0.001487,-3.93%,0,"2,184","2,184","2,184",0
CGS13106-USD,Cougar USD,0.000257,-0.000004,-1.65%,0,118,118,118,0
WEX-USD,WaultSwap USD,0.00000746,-0.00000033,-4.25%,0,"13,180","13,180","13,180",0
SWAPTC-USD,Swap TC USD,0.00000028,-0.00000001,-1.98%,0,227,227,227,0
2OMB-USD,2omb Finance USD,0.012189,-0.002018,-14.21%,0,969,969,969,0
IMRTL-USD,Immortl USD,0.000012,0,-1.75%,0,0,0,0,0
MOONER-USD,CoinMooner USD,0.004493,-0.000179,-3.83%,0,51,51,51,0
BRICKS-USD,MyBricks USD,0.000228,-0.000013,-5.30%,0,490,490,490,0
SINU21192-USD,Shepherd Inu USD,0.195865,0.195371,39529.88%,0,"57,582","57,582","57,582",0
XSUSHI-USD,xSUSHI USD,1.2127,-0.1473,-10.83%,0,"18,767","18,767","18,767",0
MZR24045-USD,Mazuri GameFi USD,0.609167,0.00321,0.53%,0,"1,357","1,357","1,357",0
NEO24253-USD,NEO USD,0.00000006,-0.00000001,-13.99%,0,"1,198","1,198","1,198",0
MTTCOIN-USD,Money of Tomorrow Today USD,0.160105,0.009924,6.61%,0,"54,492","54,492","54,492",0
WSWAP-USD,Wallet Swap USD,0.00000004,0,2.28%,0,745,745,745,0
ATOZ-USD,Race Kingdom USD,0.136901,-0.00602,-4.21%,0,"623,696","623,696","623,696",0
MCT24398-USD,Muverse Token USD,0.065032,0.000024,0.04%,0,"1,300","1,300","1,300",0
SA-USD,Superalgos USD,0.003503,-0.000175,-4.75%,0,"1,153","1,153","1,153",0
NMBTC-USD,NanoMeter Bitcoin USD,0.00000004,0,-1.71%,0,252,252,252,0
WELD-USD,WELD USD,0.006167,-0.000041,-0.66%,0,"79,153","79,153","79,153",0
XCRE-USD,Cresio USD,0.007332,-0.000577,-7.29%,0,160,160,160,0
REVU-USD,Revuto USD,0.019553,-0.002684,-12.07%,0,"87,114","87,114","87,114",0
SBTC5764-USD,sBTC USD,"29,256.49",0,0.00%,0,"43,966","43,966","43,966",0
ABCD-USD,Crypto Inu USD,0,0,-12.49%,0,260,260,260,0
